Planning_Item_ID,Hierarchy_Definition_ID,Hierarchy_Definition_Node_ID,Planning_Item_Number,Planning_Item_Name,Planning_Item_Description,Planning_Item_Type,Planning_Level_Type,Planning_Level_Number,Task_Phase,Planning_Item_Owner_User_Name,Planning_Item_Path,Plan_Start_Date,Currency_cd,Task_Cost,Task_Status,Team_Size,Planning_Item_Parent_Name,Level_1_Planning_Item_Name,Level_2_Planning_Item_Name,Level_3_Planning_Item_Name,Level_4_Planning_Item_Name,Total_Budget,Available_Budget,Allocated_Budget_Currency,Reserved_Budget,Rolledup_Budget,Total_Expenses,Total_Committed,Total_Invoiced,Planning_Item_Created_By_User_Name,Planning_Item_Last_Modified_By_User_Name,Planning_Item_Last_Modified__Datetime,Load_Datetime
005e3a913-c025-4dfa-a0b0-4f523036eddf,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-4738-2020,Level_04-#!_1398,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,15-11-2020 00:00,EUR,1480,Pending,8,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_1398,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
00a91abbf-92c8-4237-bfe8-6445abd30cdf,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-4985-2020,Level_04-#!_1645,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,06-11-2020 00:00,EUR,,Approved,8,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_1645,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,    2020-11-13 19:42:44.402
00b4fa27c-a82f-41d8-8ab8-6a613d0f7bb8,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-4127-2020,Level_04-#!_787,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,30-08-2020 00:00,EUR,,Approved,6,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_787,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
00c23ad6e-7e0d-4ad8-8222-7adb5763df58,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-4685-2020,Level_04-#!_1345,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,25-09-2020 00:00,EUR,,Approved,6,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_1345,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
010b7a97b-4304-480c-8b70-1252a746e980,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-3663-2020,Level_04-#!_323,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,23-08-2020 00:00,EUR,,Approved,8,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_323,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
01168adc6-82bb-451b-8e0e-50fdd5e28722,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-4316-2020,Level_04-#!_976,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,25-10-2020 00:00,EUR,1771,Pending,8,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_976,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
015c8aec7-857f-4ca6-b07c-86014a0ec6e8,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-3620-2020,Level_04-#!_280,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,09-08-2020 00:00,EUR,,Approved,8,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_280,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
015cfa556-f5c1-4a47-89b7-c30a7722313e,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-4528-2020,Level_04-#!_1188,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,05-06-2020 00:00,EUR,,Approved,8,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_1188,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
01ab3a0f8-48b6-4a63-848b-a418d35ba1f4,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-3636-2020,Level_04-#!_296,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,31-01-2020 00:00,EUR,,Approved,8,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_296,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
01c6ba5ed-7a93-4646-971d-cefde505e948,936d6a6b-7444-472e-bc27-dc5b65afcedd,9d873f52-b8c4-4b05-bb71-3470cb854e2f,PLNR-3981-2020,Level_04-#!_641,NaN,PlanningObject,Deployed,9,Deployed,rdt0071,/IMP-PL-01-#! Test 1582 Large IMP/PROGRAM-01-Large-IMP#/CMP-IMP-#!-01,13-11-2020 00:00,EUR,,Approved,8,CMP-IMP-#!-01,IMP-PL-01-#! Test 1582 Large IMP,PROGRAM-01-Large-IMP#,CMP-IMP-#!-01,Level_04-#!_641,1500,0,INR,0,0,0,0,0,rdt0071,rdt0071,NaN,"		2020-11-13 19:42:44.402"
